N V     1242.8040   7.823E-02   3.356E+08 M03g
O I     1355.5977   1.248E-06   5.560E+03 15.9994 M03 g Prochaska
O I     1302.1685   4.887E-02   5.650E+08 M03 g Prochaska
O I     1039.2304   9.197E-03   1.870E+08 M03 g Prochaska
O I   1026.4757 8.71e-8  4.58E7   M03 g plus two even weaker
O I     1025.7620   2.030E-02   1.020E+08 M03 g plus two weaker Prochaska
O I      988.7734   4.318E-02   2.260E+08 M03
O I      988.6549   7.712E-03   5.660E+07 M03
O I      988.5778   5.146E-04   6.290E+06 M03
O I      976.4481   3.300E-03   8.010E+07 M03 gM91 Prochaska
O I      971.7380   1.480E-02   8.580E+07 M03
O I    971.7376 0.00207  1.46e7  M03
O I    971.7371 0.000138 1.63e6  M03
O I      950.8846   1.571E-03   3.876E+07 M03 gM91 Prochaska
O I      948.6855   6.446E-03   2.900E+07 M03 gM91 Prochaska
O I    937.8405 8.77e-4 1.102e7  M03 gM91
O I      936.6295   3.735E-03   1.704E+07 M03 gM91 Prochaska
O I      930.2566   5.320E-03   6.900E+06 M03
O I      929.5168   2.264E-03   1.000E+07 M03
O I      925.4420   3.500E-04   4.600E+06 M03
O I      924.9520   1.534E-03   1.000E+07 M03
O I      922.2000   2.420E-03   3.210E+06 M03
O I      921.8600   1.173E-03   1.000E+07 M03
O I    919.917  1.77e-4 2.33e6   M03
O I    919.658  7.92e-4 1.00E7   M03
O I    919.222  1.32e-4 1.74e6   M03
O I    918.044  6.14e-4 1.00E7   M03
O I    916.960  1.01e-4 1.33e6   M03
O I    916.815  4.74e-4 1.00E7   M03 ..and more, but with high Lyman series.
O I*  1304.8576 0.0478  5.650e8  M03g
O I** 1306.0286 0.0478  5.650e8  M03g
O II  834.4655 0.132 2.000E8  VBT
O II  833.3294 0.0886 2.00E8  VBT
O II  832.7572 0.0444 2.00E8  VBT
O III 832.927 0.107 2.000E8   VBT
O III 702.332 0.137 2.000E8   VBT
O IV  787.711 0.110 2.000E8   VBT
O VI    1031.9261   1.329E-01   4.149E+08 M03g
O VI    1037.6167   6.609E-02   4.076E+08 M03g
O VII 21.60169 0.696 3.32E12
O VII 18.62799 0.146 9.35E11
NeVIII 780.324 0.050500  1.000e8  VBT
NeVIII 770.409 0.103000  1.000e8  VBT
NaI     5891.5833   6.311E-01   6.157E+07 22.989768 M03g Prochaska
NaI   5897.5581 0.3201 6.139e7  M03g
NaI   3303.369 0.00920 9.641e6 M03 M91g
NaI   3303.978 0.00460 9.639e6 M03 M91g
NaI   2853.012 6.77e-4 5.54e5  M03
NaI   2852.811 1.35e-3 5.54e5  M03
MgI     2852.9642   1.810E+00   5.000E+08 24.3050 M03g w:MN 300 131 Prochaska
MgI     2026.4768   1.120E-01   6.120E+07 M03
MgI   1827.9351 0.024200  1.610e7  M03
MgI   1747.7937 0.00908   6.61e6   M03
MgI   1707.0606 0.00437   3.330e6  M03
MgII    2796.3520   6.123E-01   2.625E+08 w:MN 300 131 M03g Prochaska
MgII    2803.5310   3.054E-01   2.595E+08 w:MN 300 131 M03g Prochaska
MgII    1240.3947   3.550E-04   1.540E+06 M03
MgII    1239.9253   6.330E-04   1.370E+06 M03
MgII  1026.1134 3.92e-4   2.48e6 M03
MgII  1025.9681 7.43e-4   2.35e6 M03
MgIIa 2796.3553 0.6155 2.625e8 M03 24Mg isotope
MgIIa 2803.5324 0.3058 2.595e8 M03 24Mg
MgIIb 2796.3511 0.6155 2.625e8 M03 25Mg
MgIIb 2803.5283 0.3058 2.595e8 M03 25Mg
MgIIc 2796.3473 0.6155 2.625e8 M03 26Mg
MgIIc 2803.5244 0.3058 2.595e8 M03 26Mg
MgX   624.95    0.0410     2.000E8  VBT
MgX   609.79    0.0842     2.000E8  VBT
AlI   3945.1224 0.116 1.48e8  26.981539 M03g
AlI   3083.0462 0.177 7.45e7  M03g
AlI   2367.7750 0.106 7.58e7  M03g
AlI   2264.1647 0.0892 7.14e7  M03g
AlII    1670.7874   1.880E+00   1.390E+09 M03g w:Griesmann Prochaska
AlIII   1862.7895   2.680E-01   5.340E+08 M03g w:Griesmann Prochaska
AlIII   1854.7164   5.390E-01   5.420E+08 M03g w:Griesmann Prochaska
SiI     2515.0730   1.620E-01   2.220E+08 28.0855 M03g Prochaska
SiI     1845.5200   2.290E-01   1.760E+08 M03
SiI   1693.2939  0.156  1.21e8  M03
SiI   1631.170   0.2051  1.714e8  M91 (M03:no f-value)
SiI   1562.002  0.3758   3.425e8  M91 (M03:no f-value)
SiII  2335.123  4.25E-6  9.61e3  M03g
SiII    1808.0130   2.186E-03   2.380E+06 M03g w:Griesmann. Prochaska
SiII    1526.7066   1.270E-01   1.130E+09 M03g
SiII    1304.3702   9.400E-02   1.010E+09 M03g 	 Prochaska
SiII    1260.4221   1.007E+00   2.950E+09 M03g
SiII    1193.2897   4.991E-01   4.070E+09 M03g
SiII    1190.4158   2.502E-01   4.080E+09 M03g	
SiII    1020.6989   2.828E-02   6.680E+08 M03/M91g
SiII     989.8731   1.330E-01   6.673E+08 M03/M91g
SiII* 1533.4316 0.13200  1.13E9  M03g
SiII* 1309.2757 0.0860  1.01E9   M03g
SiII* 1265.0020 0.117  2.95E9  M03g
SiII* 1264.7377 1.050  2.93E9  M03g
SiII* 1197.3938 0.145  4.07e9  M03g
